2023-06-24 00:42:07,071 - INFO - n_updates: 11612, episode: 109, done_reason: reverse, lap_time: 11.220519781112671, new_best_laptime: True, current_best_lap_time: 35.86416435241699
2023-06-24 00:42:14,959 - INFO - n_updates: 11637, episode: 110, done_reason: reverse, lap_time: 4.569546937942505, new_best_laptime: True, current_best_lap_time: 35.86416435241699
2023-06-24 00:42:24,061 - INFO - n_updates: 11668, episode: 111, done_reason: reverse, lap_time: 5.7803099155426025, new_best_laptime: True, current_best_lap_time: 35.86416435241699
2023-06-24 00:42:43,237 - INFO - n_updates: 11754, episode: 112, done_reason: stuck, lap_time: 15.852242946624756, new_best_laptime: True, current_best_lap_time: 35.86416435241699
2023-06-24 00:43:23,126 - INFO - n_updates: 12082, episode: 113, done_reason: lap_completed, lap_time: 36.552124977111816, new_best_laptime: False, current_best_lap_time: 35.86416435241699
2023-06-24 00:44:05,065 - INFO - n_updates: 12435, episode: 114, done_reason: lap_completed, lap_time: 38.61398363113403, new_best_laptime: False, current_best_lap_time: 35.86416435241699
2023-06-24 00:44:34,580 - INFO - n_updates: 12591, episode: 115, done_reason: stuck, lap_time: 26.189921855926514, new_best_laptime: True, current_best_lap_time: 35.86416435241699
2023-06-24 00:45:02,770 - INFO - n_updates: 12772, episode: 116, done_reason: reverse, lap_time: 24.85740900039673, new_best_laptime: True, current_best_lap_time: 35.86416435241699
2023-06-24 00:45:10,856 - INFO - n_updates: 12798, episode: 117, done_reason: reverse, lap_time: 4.768376350402832, new_best_laptime: True, current_best_lap_time: 35.86416435241699
2023-06-24 00:45:49,121 - INFO - n_updates: 13125, episode: 118, done_reason: lap_completed, lap_time: 34.934571743011475, new_best_laptime: True, current_best_lap_time: 34.934571743011475
2023-06-24 00:46:26,957 - INFO - n_updates: 13363, episode: 119, done_reason: reverse, lap_time: 34.50839138031006, new_best_laptime: True, current_best_lap_time: 34.934571743011475
2023-06-24 00:46:54,627 - INFO - n_updates: 13506, episode: 120, done_reason: stuck, lap_time: 24.33820152282715, new_best_laptime: True, current_best_lap_time: 34.934571743011475
2023-06-24 00:47:12,663 - INFO - n_updates: 13585, episode: 121, done_reason: stuck, lap_time: 14.712605476379395, new_best_laptime: True, current_best_lap_time: 34.934571743011475
2023-06-24 00:47:20,786 - INFO - n_updates: 13611, episode: 122, done_reason: reverse, lap_time: 4.802910804748535, new_best_laptime: True, current_best_lap_time: 34.934571743011475
2023-06-24 00:47:29,061 - INFO - n_updates: 13638, episode: 123, done_reason: reverse, lap_time: 4.952113151550293, new_best_laptime: True, current_best_lap_time: 34.934571743011475
2023-06-24 00:48:05,255 - INFO - n_updates: 13961, episode: 124, done_reason: lap_completed, lap_time: 32.86409521102905, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:48:41,720 - INFO - n_updates: 14191, episode: 125, done_reason: reverse, lap_time: 33.13606286048889, new_best_laptime: False, current_best_lap_time: 32.86409521102905
2023-06-24 00:48:59,379 - INFO - n_updates: 14269, episode: 126, done_reason: stuck, lap_time: 14.334884643554688, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:49:08,158 - INFO - n_updates: 14299, episode: 127, done_reason: reverse, lap_time: 5.4546449184417725, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:49:39,640 - INFO - n_updates: 14459, episode: 128, done_reason: stuck, lap_time: 28.15567398071289, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:50:09,593 - INFO - n_updates: 14646, episode: 129, done_reason: reverse, lap_time: 26.626131772994995, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:50:28,171 - INFO - n_updates: 14737, episode: 130, done_reason: reverse, lap_time: 15.253024578094482, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:50:36,442 - INFO - n_updates: 14764, episode: 131, done_reason: reverse, lap_time: 4.946063756942749, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:50:39,969 - INFO - n_updates: 14765, episode: 132, done_reason: reverse, lap_time: 0.20404624938964844, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:50:50,631 - INFO - n_updates: 14805, episode: 133, done_reason: reverse, lap_time: 7.33928108215332, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:50:58,875 - INFO - n_updates: 14832, episode: 134, done_reason: reverse, lap_time: 4.9210896492004395, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:51:07,516 - INFO - n_updates: 14861, episode: 135, done_reason: reverse, lap_time: 5.3198699951171875, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:51:25,430 - INFO - n_updates: 14939, episode: 136, done_reason: stuck, lap_time: 14.59112000465393, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:51:54,550 - INFO - n_updates: 15090, episode: 137, done_reason: stuck, lap_time: 25.793732166290283, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:52:34,744 - INFO - n_updates: 15412, episode: 138, done_reason: lap_completed, lap_time: 36.86208653450012, new_best_laptime: False, current_best_lap_time: 32.86409521102905
2023-06-24 00:52:53,025 - INFO - n_updates: 15493, episode: 139, done_reason: stuck, lap_time: 14.950995683670044, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:53:21,536 - INFO - n_updates: 15638, episode: 140, done_reason: stuck, lap_time: 25.18983292579651, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:53:51,898 - INFO - n_updates: 15798, episode: 141, done_reason: stuck, lap_time: 27.03499484062195, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:54:23,150 - INFO - n_updates: 15960, episode: 142, done_reason: stuck, lap_time: 27.926827907562256, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:54:51,341 - INFO - n_updates: 16108, episode: 143, done_reason: stuck, lap_time: 24.86583638191223, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:55:36,301 - INFO - n_updates: 16495, episode: 144, done_reason: lap_completed, lap_time: 41.62538981437683, new_best_laptime: False, current_best_lap_time: 32.86409521102905
2023-06-24 00:55:44,947 - INFO - n_updates: 16525, episode: 145, done_reason: reverse, lap_time: 5.320192337036133, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:56:34,595 - INFO - n_updates: 16905, episode: 146, done_reason: reverse, lap_time: 46.32016897201538, new_best_laptime: False, current_best_lap_time: 32.86409521102905
2023-06-24 00:56:46,219 - INFO - n_updates: 16953, episode: 147, done_reason: reverse, lap_time: 8.30004096031189, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:57:35,006 - INFO - n_updates: 17368, episode: 148, done_reason: lap_completed, lap_time: 45.44965314865112, new_best_laptime: False, current_best_lap_time: 32.86409521102905
2023-06-24 00:58:04,100 - INFO - n_updates: 17526, episode: 149, done_reason: stuck, lap_time: 25.76545763015747, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:58:31,300 - INFO - n_updates: 17666, episode: 150, done_reason: stuck, lap_time: 23.87325143814087, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:58:57,495 - INFO - n_updates: 17803, episode: 151, done_reason: stuck, lap_time: 22.871220350265503, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:59:16,458 - INFO - n_updates: 17890, episode: 152, done_reason: stuck, lap_time: 15.636991262435913, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 00:59:45,603 - INFO - n_updates: 18045, episode: 153, done_reason: stuck, lap_time: 25.822096586227417, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 01:00:15,267 - INFO - n_updates: 18203, episode: 154, done_reason: stuck, lap_time: 26.329997539520264, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 01:00:33,135 - INFO - n_updates: 18284, episode: 155, done_reason: stuck, lap_time: 14.545496940612793, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 01:00:41,750 - INFO - n_updates: 18314, episode: 156, done_reason: reverse, lap_time: 5.2923743724823, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 01:00:59,893 - INFO - n_updates: 18396, episode: 157, done_reason: stuck, lap_time: 14.793149471282959, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 01:01:30,244 - INFO - n_updates: 18563, episode: 158, done_reason: reverse, lap_time: 27.025240898132324, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 01:02:14,051 - INFO - n_updates: 18948, episode: 159, done_reason: lap_completed, lap_time: 40.47575902938843, new_best_laptime: False, current_best_lap_time: 32.86409521102905
2023-06-24 01:02:54,720 - INFO - n_updates: 19292, episode: 160, done_reason: lap_completed, lap_time: 37.3334174156189, new_best_laptime: False, current_best_lap_time: 32.86409521102905
2023-06-24 01:03:24,322 - INFO - n_updates: 19485, episode: 161, done_reason: reverse, lap_time: 26.274349451065063, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 01:04:01,735 - INFO - n_updates: 19814, episode: 162, done_reason: lap_completed, lap_time: 34.08259701728821, new_best_laptime: False, current_best_lap_time: 32.86409521102905
2023-06-24 01:04:10,169 - INFO - n_updates: 19843, episode: 163, done_reason: reverse, lap_time: 5.111515283584595, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 01:04:25,117 - INFO - n_updates: 19912, episode: 164, done_reason: reverse, lap_time: 11.624493837356567, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 01:04:43,064 - INFO - n_updates: 19993, episode: 165, done_reason: stuck, lap_time: 14.62306809425354, new_best_laptime: True, current_best_lap_time: 32.86409521102905
2023-06-24 01:05:24,674 - INFO - n_updates: 20354, episode: 166, done_reason: lap_completed, lap_time: 38.279009103775024, new_best_laptime: False, current_best_lap_time: 32.86409521102905
